time,LF,LH,RF,RH,step_freq,center_x,center_y
2025-06-01 00:00:00,13.0,14.6,16.4,12.9,64.5,-0.7,9.74
2025-06-01 00:00:05,10.4,12.4,10.4,10.4,65.0,3.15,-10.11
2025-06-01 00:00:10,10.7,9.8,12.5,10.0,60.1,-3.97,9.39
2025-06-01 00:00:15,13.3,10.3,12.1,13.4,63.0,-8.44,1.51
2025-06-01 00:00:20,15.2,14.6,19.5,15.8,62.3,-8.15,2.98
2025-06-01 00:00:25,14.6,10.2,11.5,14.5,61.1,4.03,-4.15
2025-06-01 00:00:30,13.3,10.9,12.5,13.0,63.3,-0.57,-2.29
2025-06-01 00:00:35,12.9,11.5,10.9,13.4,60.0,2.62,7.77
2025-06-01 00:00:40,11.7,13.0,14.3,11.4,61.8,4.32,-2.21
2025-06-01 00:00:45,17.5,18.6,15.7,17.9,61.1,-3.29,0.49
2025-06-01 00:00:50,16.1,13.0,16.2,7.8,64.2,1.87,-4.7
2025-06-01 00:00:55,15.9,11.7,15.3,16.4,62.9,0.21,-4.23
2025-06-01 00:01:00,10.2,13.0,11.8,10.1,61.9,-1.81,4.0
2025-06-01 00:01:05,14.5,15.3,15.2,13.0,65.4,-2.29,4.64
2025-06-01 00:01:10,10.3,7.9,9.9,10.1,63.5,0.41,3.65
2025-06-01 00:01:15,14.5,11.1,11.3,10.6,64.3,-2.45,-3.83
2025-06-01 00:01:20,18.2,12.9,13.9,13.2,63.6,-7.93,5.76
2025-06-01 00:01:25,12.7,9.3,13.9,8.3,65.0,4.41,10.81
2025-06-01 00:01:30,9.7,11.1,9.9,7.8,61.5,5.13,-4.07
2025-06-01 00:01:35,14.1,19.1,14.4,15.3,64.4,3.73,1.14
2025-06-01 00:01:40,15.4,9.5,13.1,13.3,64.0,-0.37,-7.91
2025-06-01 00:01:45,13.6,13.1,13.0,13.2,60.9,-2.15,-4.3
2025-06-01 00:01:50,9.4,14.5,11.7,8.4,64.1,2.24,-7.92
2025-06-01 00:01:55,13.5,9.5,13.1,12.0,65.1,-2.47,4.92
2025-06-01 00:02:00,12.7,12.5,12.6,14.1,63.0,1.6,5.8
2025-06-01 00:02:05,11.7,14.6,11.2,17.2,65.2,-3.11,-2.94
2025-06-01 00:02:10,16.5,15.1,17.0,16.5,61.4,-1.98,2.14
